$GPGGA,045147.000,3401.8853,N,11725.0160,W,2,10,0.87,324.4,M,-32.8,M,0000,0000*52
$GPGGA,045106.000,3401.8861,N,11725.0164,W,2,10,0.87,324.3,M,-32.8,M,0000,0000*55
$GPGGA,045111.000,3401.8862,N,11725.0163,W,2,10,0.87,324.3,M,-32.8,M,0000,0000*57
$GPGGA,045148.000,3401.8853,N,11725.0160,W,2,10,0.87,324.4,M,-32.8,M,0000,0000*5D
$GPGGA,045149.000,3401.8854,N,11725.0161,W,2,10,0.95,324.4,M,-32.8,M,0000,0000*59
$GPGGA,045150.000,3401.8854,N,11725.0161,W,2,10,0.87,324.4,M,-32.8,M,0000,0000*52
$GPGGA,045151.000,3401.8854,N,11725.0161,W,2,10,0.87,324.4,M,-32.8,M,0000,0000*53
$GPGGA,045152.000,3401.8855,N,11725.0162,W,2,10,0.87,324.4,M,-32.8,M,0000,0000*52
$GPGGA,045154.000,3401.8855,N,11725.0162,W,2,10,0.87,324.5,M,-32.8,M,0000,0000*55
$GPGGA,045155.000,3401.8854,N,11725.0162,W,2,10,0.87,324.5,M,-32.8,M,0000,0000*55
$GPGGA,045156.000,3401.8855,N,11725.0162,W,2,10,0.87,324.5,M,-32.8,M,0000,0000*57
$GPGGA,045157.000,3401.8855,N,11725.0161,W,2,10,0.87,324.5,M,-32.8,M,0000,0000*55
$GPGGA,045112.000,3401.8862,N,11725.0162,W,2,10,0.87,324.3,M,-32.8,M,0000,0000*55
$GPGGA,045158.000,3401.8855,N,11725.0161,W,2,10,0.87,324.5,M,-32.8,M,0000,0000*5A
$GPGGA,045113.000,3401.8862,N,11725.0161,W,2,10,0.87,324.3,M,-32.8,M,0000,0000*57
$GPGGA,045109.000,3401.8862,N,11725.0164,W,2,10,0.87,324.3,M,-32.8,M,0000,0000*59
$GPGGA,045210.000,3401.8851,N,11725.0158,W,2,10,0.87,324.5,M,-32.8,M,0000,0000*5B
$GPGGA,045211.000,3401.8851,N,11725.0157,W,2,10,0.87,324.5,M,-32.8,M,0000,0000*55
$GPGGA,045212.000,3401.8851,N,11725.0157,W,2,10,0.87,324.5,M,-32.8,M,0000,0000*56
$GPGGA,045213.000,3401.8851,N,11725.0157,W,2,10,0.87,324.5,M,-32.8,M,0000,0000*57
$GPGGA,045214.000,3401.8851,N,11725.0157,W,2,10,0.87,324.5,M,-32.8,M,0000,0000*50
$GPGGA,045117.000,3401.8859,N,11725.0158,W,2,10,0.87,324.3,M,-32.8,M,0000,0000*51
$GPGGA,045118.000,3401.8859,N,11725.0158,W,2,10,0.87,324.3,M,-32.8,M,0000,0000*5E
$GPGGA,045119.000,3401.8859,N,11725.0158,W,2,10,0.87,324.3,M,-32.8,M,0000,0000*5F
$GPGGA,045120.000,3401.8858,N,11725.0158,W,2,10,0.87,324.3,M,-32.8,M,0000,0000*54
$GPGGA,045121.000,3401.8858,N,11725.0157,W,2,10,0.87,324.3,M,-32.8,M,0000,0000*5A
$GPGGA,045216.000,3401.8851,N,11725.0157,W,2,10,0.87,324.5,M,-32.8,M,0000,0000*52
$GPGGA,045217.000,3401.8851,N,11725.0156,W,2,10,0.87,324.5,M,-32.8,M,0000,0000*52
$GPGGA,045218.000,3401.8852,N,11725.0156,W,2,10,0.87,324.5,M,-32.8,M,0000,0000*5E
$GPGGA,045219.000,3401.8852,N,11725.0156,W,2,10,0.87,324.5,M,-32.8,M,0000,0000*5F
$GPGGA,045220.000,3401.8852,N,11725.0156,W,2,10,0.95,324.5,M,-32.8,M,0000,0000*56
$GPGGA,045221.000,3401.8853,N,11725.0156,W,2,10,0.95,324.5,M,-32.8,M,0000,0000*56
$GPGGA,045222.000,3401.8854,N,11725.0156,W,2,10,0.95,324.5,M,-32.8,M,0000,0000*52
$GPGGA,045223.000,3401.8854,N,11725.0156,W,2,10,0.87,324.5,M,-32.8,M,0000,0000*50
$GPGGA,045224.000,3401.8854,N,11725.0156,W,2,10,0.87,324.5,M,-32.8,M,0000,0000*57
